"stop_id,stop_name,stop_lat,stop_lon,location_type"
"MB_12,الكهرباء المستعمرة,30.1072466,31.2749075,"
"MB_13,المساكن الاقتصادية,30.054400,31.229400,"
"MB_14,محطة مترو الحدائق,29.9702409,31.2505126,"
"MB_15,أحمد ماهر (دائري),30.0434136,31.2552292,"
"MB_16,٦ أكتوبر (المحور),30.0941972,31.2644664,"
"MB_17,مكتبة سوزان مبارك,30.01572669999999,31.2239941,"
"MB_18,كوبري شبرا العلوي,30.0730176,31.247765,"
"MB_19,مدخل مدينة السلام,30.1718424,31.406452,"
"MB_20,كوبري أحمد عرابي,30.0698047,31.196102,"
"MB_21,٦ أكتوبر (الهرم),30.0155504,31.2152881,"
"MB_22,المعادي صقر قريش,29.9847244,31.2836746,"
"MB_23,بحيرة عين الصيرة,30.017331,31.2495792,"
"MB_24,موقف عرب المعادي,29.9697057,31.2695806,"
"MB_25,الجامعة العمالية,30.0578218,31.2703104,"
"MB_26,المشروم الأمريكي,30.0816852,31.261144,"
"MB_27,عبد المنعم رياض,30.0871653,31.2593952,"
"MB_28,الزهراء المعادي,29.9617319,31.3057941,"
"MB_29,الزهراء عين شمس,30.1303408,31.3296025,"
"MB_30,طريق مزرعة البط,29.9799295,31.2606906,"
"MB_31,العاشر من رمضان,30.155978,31.2004224,"
"MB_32,القناطر الخيرية,30.191313,31.1337071,"
"MB_33,بحيرة عن الصيرة,30.017331,31.2495792,"
"MB_34,٦ أكتوبر (فيصل),30.0021682,31.1694268,"
"MB_35,الزاوية الحمراء,30.0955771,31.2665384,"
"MB_36,المرحلة الثالثة,30.054400,31.229400,"
"MB_37,القاهرة الجديدة,30.029000,31.470000,"
"MB_38,كوبري روض الفرج,30.0873232,31.2333086,"
"MB_39,عزبة كامل صدقي,29.9003309,31.2910786,"
"MB_40,القطار الخيرية,30.0495098,31.25071,"
"MB_41,الطريق الدائري,30.0911375,31.1970426,"
"MB_42,موقف أحمد حلمي,30.1022598,31.2455316,"
"MB_43,مدينه الموظفين,30.005000,31.440000,"
"MB_44,كوبري الحادثة,30.070000,31.230000,"
"MB_45,السكة البيضاء,30.066183,31.2850708,"
"MB_46,رابعة العدوية,30.0684433,31.321994,"
"MB_47,جامعة القاهرة,30.02242,31.2113829,"
"MB_48,مدافن الدويقة,30.05649619999999,31.235632,"
"MB_49,بولاق الدكرور,30.1013258,31.1996135,"
"MB_50,مدينة المعراج,29.97987999999999,31.314661,"
"MB_51,عزبة الصعايدة,30.0724229,31.2068582,"
"MB_52,الوفاء والأمل,30.0210896,31.351304,"
"MB_53,مساكن عين شمس,30.1377886,31.3416693,"
"MB_54,التجمع الثالث,29.9800831,31.4327614,"
"MB_55,عزبة خير الله,29.9791594,31.2539195,"
"MB_56,عزبة خبر الله,29.9791594,31.2539195,"
