"route_id,service_id,trip_id,shape_id,direction_id"
"MB_193,MB_DAILY,MB_trip_193,MB_shape_193,"
"MB_194,MB_DAILY,MB_trip_194,MB_shape_194,"
"MB_195,MB_DAILY,MB_trip_195,MB_shape_195,"
"MB_196,MB_DAILY,MB_trip_196,MB_shape_196,"
"MB_197,MB_DAILY,MB_trip_197,MB_shape_197,"
"MB_198,MB_DAILY,MB_trip_198,MB_shape_198,"
"MB_199,MB_DAILY,MB_trip_199,MB_shape_199,"
"MB_200,MB_DAILY,MB_trip_200,MB_shape_200,"
"MB_201,MB_DAILY,MB_trip_201,MB_shape_201,"
"MB_202,MB_DAILY,MB_trip_202,MB_shape_202,"
"MB_203,MB_DAILY,MB_trip_203,MB_shape_203,"
"MB_204,MB_DAILY,MB_trip_204,MB_shape_204,"
"MB_205,MB_DAILY,MB_trip_205,MB_shape_205,"
"MB_206,MB_DAILY,MB_trip_206,MB_shape_206,"
"MB_207,MB_DAILY,MB_trip_207,MB_shape_207,"
"MB_208,MB_DAILY,MB_trip_208,MB_shape_208,"
"MB_209,MB_DAILY,MB_trip_209,MB_shape_209,"
"MB_210,MB_DAILY,MB_trip_210,MB_shape_210,"
"MB_211,MB_DAILY,MB_trip_211,MB_shape_211,"
"MB_212,MB_DAILY,MB_trip_212,MB_shape_212,"
"MB_213,MB_DAILY,MB_trip_213,MB_shape_213,"
"MB_214,MB_DAILY,MB_trip_214,MB_shape_214,"
"MB_215,MB_DAILY,MB_trip_215,MB_shape_215,"
"MB_216,MB_DAILY,MB_trip_216,MB_shape_216,"
"MB_217,MB_DAILY,MB_trip_217,MB_shape_217,"
"MB_218,MB_DAILY,MB_trip_218,MB_shape_218,"
"MB_219,MB_DAILY,MB_trip_219,MB_shape_219,"
"MB_220,MB_DAILY,MB_trip_220,MB_shape_220,"
"MB_221,MB_DAILY,MB_trip_221,MB_shape_221,"
"MB_222,MB_DAILY,MB_trip_222,MB_shape_222,"
"MB_223,MB_DAILY,MB_trip_223,MB_shape_223,"
"MB_224,MB_DAILY,MB_trip_224,MB_shape_224,"
"MB_225,MB_DAILY,MB_trip_225,MB_shape_225,"
"MB_226,MB_DAILY,MB_trip_226,MB_shape_226,"
"MB_227,MB_DAILY,MB_trip_227,MB_shape_227,"
"MB_228,MB_DAILY,MB_trip_228,MB_shape_228,"
"MB_229,MB_DAILY,MB_trip_229,MB_shape_229,"
